Grapheme	IPA	Note
^Dios$	d j o s
^hierba$	ɟ ʝ ɛ ɾ β a
^hierro$	ɟ ʝ ɛ r o
^higo$	i ɣ o
^hija$	i x a
^hijastra$	i x a s t ɾ a
^hijastro$	i x a s t ɾ o
^hijo$	i x o
^hilar$	i l a ɾ
^hilo$	i l o
^hinchazón$	i n tʃ a s o n
^hoja$	o x a
^hombre$	o m b ɾ e
^hombre_casado$	o m b ɾ e + k a s a ð o
^hombre_libre$	o m b ɾ e + l i β ɾ e
^hombre_viejo$	o m b ɾ e + β j e x o
^hombro$	o m b ɾ o
^honda$	o n d a
^hondo$	o n d o
^hongo$	o n g o
^hora$	o ɾ a
^hormiga$	o ɾ m i ɣ a
^hornear$	o ɾ n e a ɾ
^horno$	o ɾ n o
^horqueta$	o ɾ k ɛ t a
^hospedero$	o s p e ð ɛ ɾ o
^hoy$	o i
^hoz$	o s
^huella$	w e ʝ a
^huerto$	w ɛ ɾ t o
^hueso$	w e s o
^huevo$	w e β o
^huir$	w i ɾ
^humo$	u m o
^hundir$	u n d i ɾ
^husmear$	u s m e a ɾ
^huso$	u s o
^huérfana$	w ɛ ɾ f a n a
^huérfano$	w ɛ ɾ f a n o
^huésped$	w ɛ s p ɛ ð
^hábil$	a β i l
^hábito$	a β i t o
^hígado$	i ɣ a ð o
^húmedo$	u m e ð o
^idea$	i ð e a
^idioma$	i ð j o m a
^iglesia$	i ɣ l e s j a
^imitar$	i m i t a ɾ
^impedir$	i m p e ð i ɾ
^impuesto$	i m p w ɛ s t o
^incendio_premeditado$	i n s e n d j o + p ɾ e m e ð i t a ð o
^incorrecto$	i n k o r e k t o
^inculpar$	i n k u l p a ɾ
^infierno$	i m f j ɛ ɾ n o
^inicio$	i n i s j o
^inmaduro$	i m m a ð u ɾ o
^inmediatamente$	i m m e ð j a t a m e n t e
^inocente$	i n o s e n t e
^insano$	i n s a n o
^insecto$	i n s e k t o
^intención$	i n t e n s j o n
^intestinos$	i n t ɛ s t i n o s
^invierno$	i m b j ɛ ɾ n o
^invitado$	i m b i t a ð o
^ir$	i ɾ
^ira$	i ɾ a
^irse$	i ɾ s e
^isla$	i s l a
^izquierda$	i s k j ɛ ɾ ð a
^jabalí$	x a β a l i
^jabón$	x a β o n
^jactarse$	x a k t a ɾ s e
^jalar$	x a l a ɾ
^jamba_de_puerta$	x a m b a + ð e + p w ɛ ɾ t a
^jamás$	x a m a s
^jardín$	x a ɾ ð i n
^jarro$	x a r o
^jefe$	x e f e
^jején$	x e x e n
^joven$	x o β e n
^joya$	x o ʝ a
^jueves$	x w e β e s
^juez$	x w e s
^jugar$	x u ɣ a ɾ
^juicio$	x w i s j o
^juntar$	x u n t a ɾ
^juramento$	x u ɾ a m e n t o
^jurar$	x u ɾ a ɾ
^juzgar$	x u s ɣ a ɾ
^la_joven$	l a + x o β e n
^labio$	l a β j o
^labrador$	l a β ɾ a ð o ɾ
^labrar$	l a β ɾ a ɾ
^lado$	l a ð o
^ladrillo$	l a ð ɾ i ʝ o
^ladrón$	l a ð ɾ o n
^lagartija$	l a ɣ a ɾ t i x a
^lago$	l a ɣ o
^laguna$	l a ɣ u n a
^lamentar$	l a m e n t a ɾ
^lamer$	l a m ɛ ɾ
^lana$	l a n a
^lanza$	l a n s a
^largar$	l a ɾ ɣ a ɾ
^largo$	l a ɾ ɣ o
^larguero$	l a ɾ ɣ ɛ ɾ o
^lavar$	l a β a ɾ
^laya$	l a ʝ a
^leche$	l e tʃ e
^lechuza$	l e tʃ u s a
^leer$	l e ɛ ɾ
^legumbres$	l e ɣ u m b ɾ e s
^lejos$	l e x o s
^lengua$	l e n g w a
^lentamente$	l e n t a m e n t e
^levantar$	l e β a n t a ɾ
^levante$	l e β a n t e
^ley$	l e i
^león$	l e o n
^leɲa$	l e ɲ a
^liana$	l j a n a
^libro$	l i β ɾ o
^liendre$	l j e n d ɾ e
^ligero$	l i x ɛ ɾ o
^limpio$	l i m p j o
^lindo$	l i n d o
^lino$	l i n o
^lisiado$	l i s j a ð o
^lisiar$	l i s j a ɾ
^liso$	l i s o
^listo$	l i s t o
^liviano$	l i β j a n o
^llaga$	ɟ ʝ a ɣ a
^llama$	ɟ ʝ a m a
^llamar$	ɟ ʝ a m a ɾ
^llamarse$	ɟ ʝ a m a ɾ s e
^llanura$	ɟ ʝ a n u ɾ a
^llave$	ɟ ʝ a β e
^llegar$	ɟ ʝ e ɣ a ɾ
^lleno$	ɟ ʝ e n o
^llevar$	ɟ ʝ e β a ɾ
^llevar_a_la_espalda$	ɟ ʝ e β a ɾ + a + l a + ɛ s p a l d a
^llevar_bajo_el_brazo$	ɟ ʝ e β a ɾ + β a x o + ɛ l + β ɾ a s o
^llevar_en_la_mano$	ɟ ʝ e β a ɾ + e n + l a + m a n o
^llevar_sobre_la_cabeza$	ɟ ʝ e β a ɾ + s o β ɾ e + l a + k a β e s a
^llorar$	ɟ ʝ o ɾ a ɾ
^lluvia$	ɟ ʝ u β j a
^lobo$	l o β o
^loco$	l o k o
^lodo$	l o ð o
^loma$	l o m a
^lombriz$	l o m b ɾ i s
^loro$	l o ɾ o
^lucha$	l u tʃ a
^luciérnaga$	l u s j ɛ ɾ n a ɣ a
^lugar$	l u ɣ a ɾ
^lugar_para_trillar$	l u ɣ a ɾ + p a ɾ a + t ɾ i ʝ a ɾ
^luna$	l u n a
^lunes$	l u n e s
^luz$	l u s
^lágrima$	l a ɣ ɾ i m a
^lámpara$	l a m p a ɾ a
^lástima$	l a s t i m a
^límite$	l i m i t e
^línea$	l i n e a
^lóbulo$	l o β u l o
^macana$	m a k a n a
^machacar_con_el_puɲo$	m a tʃ a k a ɾ + k o n + ɛ l + p u ɲ o
^macho$	m a tʃ o
^macho_cabrío$	m a tʃ o + k a β ɾ i o
^madera$	m a ð ɛ ɾ a
^madrastra$	m a ð ɾ a s t ɾ a
^madre$	m a ð ɾ e
^madrugada$	m a ð ɾ u ɣ a ð a
^maduro$	m a ð u ɾ o
^maestro$	m a ɛ s t ɾ o
^magulladura$	m a ɣ u ʝ a ð u ɾ a
^mala_suerte$	m a l a + s w ɛ ɾ t e
^maldecir$	m a l d e s i ɾ
^malo$	m a l o
^manantial$	m a n a n t j a l
^mandar$	m a n d a ɾ
^mandioca$	m a n d j o k a
^mandíbula$	m a n d i β u l a
^manera$	m a n ɛ ɾ a
^mano$	m a n o
^mano_de_mortero$	m a n o + ð e + m o ɾ t ɛ ɾ o
^manta$	m a n t a
^manteca$	m a n t e k a
^mantequilla$	m a n t e k i ʝ a
^mar$	m a ɾ
^marcharse$	m a ɾ tʃ a ɾ s e
^marea$	m a ɾ e a
^margen$	m a ɾ x e n
^marido$	m a ɾ i ð o
^mariposa$	m a ɾ i p o s a
^martes$	m a ɾ t e s
^martillo$	m a ɾ t i ʝ o
^masa$	m a s a
^mascar$	m a s k a ɾ
^masculino$	m a s k u l i n o
^masticar$	m a s t i k a ɾ
^masón$	m a s o n
^matar$	m a t a ɾ
^matraca$	m a t ɾ a k a
^matriz$	m a t ɾ i s
^maíz$	m a i s
^maɲana$	m a ɲ a n a
^mear$	m e a ɾ
^media$	m e ð j a
^medicina$	m e ð i s i n a
^medio$	m e ð j o
^mediodía$	m e ð j o ð i a
^medir$	m e ð i ɾ
^mejilla$	m e x i ʝ a
^mellizo$	m e ʝ i s o
^mendigo$	m e n d i ɣ o
^mente$	m e n t e
^mentir$	m e n t i ɾ
^mentón$	m e n t o n
^mercado$	m ɛ ɾ k a ð o
^mes$	m e s
^mesa$	m e s a
^mezclar$	m ɛ s k l a ɾ
^mezquino$	m ɛ s k i n o
^miedo$	m j e ð o
^miel$	m j ɛ l
^mil$	m i l
^mirar$	m i ɾ a ɾ
^mitad$	m i t a ð
^mixturar$	m i k s t u ɾ a ɾ
^miércoles$	m j ɛ ɾ k o l e s
^moco$	m o k o
^modo$	m o ð o
^mojado$	m o x a ð o
^molar$	m o l a ɾ
^moldear$	m o l d e a ɾ
^moler$	m o l ɛ ɾ
^molino$	m o l i n o
^moneda$	m o n e ð a
^mono$	m o n o
^montar$	m o n t a ɾ
^montaɲa$	m o n t a ɲ a
^morar$	m o ɾ a ɾ
^morder$	m o ɾ ð ɛ ɾ
^morir$	m o ɾ i ɾ
^mortero$	m o ɾ t ɛ ɾ o
^morueco$	m o ɾ w e k o
^mosca$	m o s k a
^mosquito$	m o s k i t o
^mostrar$	m o s t ɾ a ɾ
^mover$	m o β ɛ ɾ
^muchacha$	m u tʃ a tʃ a
^muchacho$	m u tʃ a tʃ o
^mucho$	m u tʃ o
^mudar$	m u ð a ɾ
^mudo$	m u ð o
^muela$	m w e l a
^muerto$	m w ɛ ɾ t o
^mujer$	m u x ɛ ɾ
^mujer_casada$	m u x ɛ ɾ + k a s a ð a
^mujer_vieja$	m u x ɛ ɾ + β j e x a
^mula$	m u l a
^mulo$	m u l o
^multa$	m u l t a
^multitud$	m u l t i t u ð
^mundo$	m u n d o	Latin American Spanish pronunciation
^murciélago$	m u ɾ s j e l a ɣ o
^muro$	m u ɾ o
^muslo$	m u s l o
^muɲeca$	m u ɲ e k a
^más$	m a s
^mástil$	m a s t i l
^médico$	m e ð i k o
^nacer$	n a s ɛ ɾ
^nada$	n a ð a
^nadar$	n a ð a ɾ
^nalgas$	n a l ɣ a s
^nariz$	n a ɾ i s
^narrar$	n a r a ɾ
^nasa$	n a s a
^navaja_de_afeitar$	n a β a x a + ð e + a f e i t a ɾ
^navegar$	n a β e ɣ a ɾ
^neblina$	n e β l i n a
^necesidad$	n e s e s i ð a ð
^necio$	n e s j o
^negar$	n e ɣ a ɾ
^negativo$	n e ɣ a t i β o
^negro$	n e ɣ ɾ o
^nene$	n e n e
^nido$	n i ð o
^niebla$	n j e β l a
^nieta$	n j ɛ t a
^nieto$	n j ɛ t o
^nieve$	n j e β e
^niɲo$	n i ɲ o
^no$	n o
^no_maduro$	n o + m a ð u ɾ o
^noble$	n o β l e
^noche$	n o tʃ e
^nombre$	n o m b ɾ e
^norte$	n o ɾ t e
^nosotras$	n o s o t ɾ a s
^nosotros$	n o s o t ɾ o s
^nube$	n u β e
^nuca$	n u k a
^nudo$	n u ð o
^nuera$	n w ɛ ɾ a
^nueve$	n w e β e
^nuevo$	n w e β o
^nuez$	n w e s
^nunca$	n u n k a
^o$	o
^obedecer$	o β e ð e s ɛ ɾ
^obscuro$	o β s k u ɾ o
^obtener$	o β t e n ɛ ɾ
^ocho$	o tʃ o
^océano$	o s e a n o
^odiar$	o ð j a ɾ
^oeste$	o ɛ s t e
^ofrenda$	o f ɾ e n d a
^ojo$	o x o
^ola$	o l a
^oler$	o l ɛ ɾ
^olfatear$	o l f a t e a ɾ
^oliva$	o l i β a
^olla$	o ʝ a
^olvidar$	o l β i ð a ɾ
^ombligo$	o m b l i ɣ o
^omóplato$	o m o p l a t o
^once$	o n s e
^oprimir$	o p ɾ i m i ɾ
^orar$	o ɾ a ɾ
^ordenar$	o ɾ ð e n a ɾ
^ordeɲar$	o ɾ ð e ɲ a ɾ
^oreja$	o ɾ e x a
^orgulloso$	o ɾ ɣ u ʝ o s o
^orilla$	o ɾ i ʝ a
^orinar$	o ɾ i n a ɾ
^ornato$	o ɾ n a t o
^oro$	o ɾ o
^ortiga$	o ɾ t i ɣ a
^osar$	o s a ɾ
^oscuridad$	o s k u ɾ i ð a ð
^oscuro$	o s k u ɾ o
^oso$	o s o
^otoɲo$	o t o ɲ o
^otra_vez$	o t ɾ a + β e s
^oveja$	o β e x a
^oír$	o i ɾ
^padrastro$	p a ð ɾ a s t ɾ o
^padre$	p a ð ɾ e
^padres$	p a ð ɾ e s
^pagar$	p a ɣ a ɾ
^paja$	p a x a
^pala$	p a l a
^palabra$	p a l a β ɾ a
^palma_de_la_mano$	p a l m a + ð e + l a + m a n o
^palmera$	p a l m ɛ ɾ a
^paloma$	p a l o m a
^pampa$	p a m p a
^pan$	p a n
^pantalones$	p a n t a l o n e s
^pantano$	p a n t a n o
^pantorrilla$	p a n t o r i ʝ a
^papa$	p a p a
^papagayo$	p a p a ɣ a ʝ o
^papel$	p a p ɛ l
^par$	p a ɾ
^paraíso$	p a ɾ a i s o
^parecer$	p a ɾ e s ɛ ɾ
^parecido$	p a ɾ e s i ð o
^pared$	p a ɾ ɛ ð
^parentela$	p a ɾ e n t e l a
^parientes$	p a ɾ j e n t e s
^parpadear$	p a ɾ p a ð e a ɾ
^parte$	p a ɾ t e
^partir$	p a ɾ t i ɾ
^pasado_maɲana$	p a s a ð o + m a ɲ a n a
^pastinaca$	p a s t i n a k a
^pasto$	p a s t o
^pastor$	p a s t o ɾ
^pata$	p a t a
^patear$	p a t e a ɾ
^patio$	p a t j o
^pato$	p a t o
^patria$	p a t ɾ j a
^patrón$	p a t ɾ o n
^paz$	p a s
^país$	p a i s
^paɲuelo$	p a ɲ w e l o
^pecho$	p e tʃ o
^pedazo$	p e ð a s o
^pedir$	p e ð i ɾ
^pedir_prestado$	p e ð i ɾ + p ɾ ɛ s t a ð o
^peine$	p e i n e
^pelado$	p e l a ð o
^pelar$	p e l a ɾ
^pelear$	p e l e a ɾ
^peligro$	p e l i ɣ ɾ o
^pellejo$	p e ʝ e x o
^pellizcar$	p e ʝ i s k a ɾ
^pelo$	p e l o
^pelo_púbico$	p e l o + p u β i k o
^pelota$	p e l o t a
^pena$	p e n a
^pendiente$	p e n d j e n t e
^pene$	p e n e
^pensamiento$	p e n s a m j e n t o
^pensar$	p e n s a ɾ
^pequeɲo$	p e k e ɲ o
^perder$	p ɛ ɾ ð ɛ ɾ
^perdonar$	p ɛ ɾ ð o n a ɾ
^perezoso$	p ɛ ɾ e s o s o
^perforar$	p ɛ ɾ f o ɾ a ɾ
^perjurio$	p ɛ ɾ x u ɾ j o
^permanecer$	p ɛ ɾ m a n e s ɛ ɾ
^permitir$	p ɛ ɾ m i t i ɾ
^perro$	p ɛ r o
^perseguir$	p ɛ ɾ s e ɣ i ɾ
^persona$	p ɛ ɾ s o n a
^pesado$	p e s a ð o
^pesar$	p e s a ɾ
^pescado$	p ɛ s k a ð o
^pescador$	p ɛ s k a ð o ɾ
^pestaɲa$	p ɛ s t a ɲ a
^pestaɲear$	p ɛ s t a ɲ e a ɾ
^pez$	p e s
^pezón$	p e s o n
^picar$	p i k a ɾ
^pico$	p i k o
^pie$	p j e
^piedra$	p j e ð ɾ a
^piel$	p j ɛ l
^pierna$	p j ɛ ɾ n a
^pieza$	p j e s a
^pimienta$	p i m j e n t a
^pino$	p i n o
^pintar$	p i n t a ɾ
^pintura$	p i n t u ɾ a
^piojo$	p j o x o
^pipa$	p i p a
^plano$	p l a n o
^planta$	p l a n t a
^plantar$	p l a n t a ɾ
^plata$	p l a t a
^platillo$	p l a t i ʝ o
^plato$	p l a t o
^playa$	p l a ʝ a
^pleamar$	p l e a m a ɾ
^pleito$	p l e i t o
^plomo$	p l o m o
^pluma$	p l u m a
^plátano$	p l a t a n o
^pobre$	p o β ɾ e
^poco$	p o k o
^poco_profundo$	p o k o + p ɾ o f u n d o
^poderoso$	p o ð ɛ ɾ o s o
^podrido$	p o ð ɾ i ð o
^poeta$	p o ɛ t a
^pollo$	p o ʝ o
^polvo$	p o l β o
^poncho$	p o n tʃ o
^poner$	p o n ɛ ɾ
^poner_de_pie$	p o n ɛ ɾ + ð e + p j e
^ponerse_en_cuclillas$	p o n ɛ ɾ s ɛ + e n + k u k l i ʝ a s
^poniente$	p o n j e n t e
^por_mucho_tiempo$	p o ɾ + m u tʃ o + t j e m p o
^por_qué$	p o ɾ + k e
^poroto$	p o ɾ o t o
^porque$	p o ɾ k e
^poseer$	p o s e ɛ ɾ
^poste$	p o s t e
^potrero$	p o t ɾ ɛ ɾ o
^potrillo$	p o t ɾ i ʝ o
^potro$	p o t ɾ o
^pozo$	p o s o
^pradera$	p ɾ a ð ɛ ɾ a
^precio$	p ɾ e s j o
^predicar$	p ɾ e ð i k a ɾ
^preguntar$	p ɾ e ɣ u n t a ɾ
^preocupación$	p ɾ e o k u p a s j o n
^preparado$	p ɾ e p a ɾ a ð o
^presagio$	p ɾ e s a x j o
^presbítero$	p ɾ ɛ s β i t ɛ ɾ o
^preso$	p ɾ e s o
^prestar$	p ɾ ɛ s t a ɾ
^preɲada$	p ɾ e ɲ a ð a
^prima$	p ɾ i m a
^primavera$	p ɾ i m a β ɛ ɾ a
^primero$	p ɾ i m ɛ ɾ o
^primo$	p ɾ i m o
^prisionero$	p ɾ i s j o n ɛ ɾ o
^probar$	p ɾ o β a ɾ
^procrear$	p ɾ o k ɾ e a ɾ
^profesor$	p ɾ o f e s o ɾ
^profundo$	p ɾ o f u n d o
^prohibir$	p ɾ o i β i ɾ
^prometer$	p ɾ o m ɛ t ɛ ɾ
^promontorio$	p ɾ o m o n t o ɾ j o
^pronto$	p ɾ o n t o
^pronunciar_un_discurso$	p ɾ o n u n s j a ɾ + u n + d i s k u ɾ s o
^propósito$	p ɾ o p o s i t o
^prostituta$	p ɾ o s t i t u t a
^proteger$	p ɾ o t e x ɛ ɾ
^próximo$	p ɾ o k s i m o
^pueblo$	p w e β l o
^puente$	p w e n t e
^puerca$	p w ɛ ɾ k a
^puerco$	p w ɛ ɾ k o
^puerta$	p w ɛ ɾ t a
^puerto$	p w ɛ ɾ t o
^pulga$	p u l ɣ a
^pulgar$	p u l ɣ a ɾ
^pulmón$	p u l m o n
^pulsera$	p u l s ɛ ɾ a
^punta$	p u n t a
^puntiagudo$	p u n t j a ɣ u ð o
^punzón$	p u n s o n
^pus$	p u s
^pájaro$	p a x a ɾ o
^párpado$	p a ɾ p a ð o
^quebrado$	k e β ɾ a ð o
^quebrar$	k e β ɾ a ɾ
^quedar$	k e ð a ɾ
^quemar$	k e m a ɾ
^quemarse$	k e m a ɾ s e
^querer$	k ɛ ɾ ɛ ɾ
^queso$	k e s o
^quince$	k i n s e
^quién$	k j e n
^qué$	k e
^rabia$	r a β j a
^racimo$	r a s i m o
^rallar$	r a ʝ a ɾ
^rama$	r a m a
^rama_bifurcada$	r a m a + β i f u ɾ k a ð a
^rana$	r a n a
^ranchero$	r a n tʃ ɛ ɾ o
^rasgar$	r a s ɣ a ɾ
^raspar$	r a s p a ɾ
^rastrillo$	r a s t ɾ i ʝ o
^rastro$	r a s t ɾ o
^rata$	r a t a
^ratón$	r a t o n
^raya$	r a ʝ a
^rayo$	r a ʝ o
^raíz$	r a i s
^recoger$	r e k o x ɛ ɾ
^reconocer$	r e k o n o s ɛ ɾ
^recordar$	r e k o ɾ ð a ɾ
^recto$	r e k t o
^red$	r ɛ ð
^redondo$	r e ð o n d o
^regresar$	r e ɣ ɾ e s a ɾ
^rehusar$	r e u s a ɾ
^reina$	r e i n a
^religión$	r e l i x j o n
^reloj$	r e l o x
^relámpago$	r e l a m p a ɣ o
^remar$	r e m a ɾ
^remedio$	r e m e ð j o
^remo$	r e m o
^remo_corto$	r e m o + k o ɾ t o
^remolino$	r e m o l i n o
^rendirse$	r e n d i ɾ s e
^repartir$	r e p a ɾ t i ɾ
^repisa$	r e p i s a
^reprender$	r e p ɾ e n d ɛ ɾ
^resbalar$	r ɛ s β a l a ɾ
^rescatar$	r ɛ s k a t a ɾ
^resfriado$	r ɛ s f ɾ j a ð o
^respirar$	r ɛ s p i ɾ a ɾ
^resplandor$	r ɛ s p l a n d o ɾ
^responder$	r ɛ s p o n d ɛ ɾ
^retener$	r ɛ t e n ɛ ɾ
^retirarse$	r ɛ t i ɾ a ɾ s e
^retrasar$	r ɛ t ɾ a s a ɾ
^reunir$	r e u n i ɾ
^rey$	r e i
^rezar$	r e s a ɾ
^reír$	r e i ɾ
^ribera$	r i β ɛ ɾ a
^rico$	r i k o
^rincón$	r i n k o n
^riɲón$	r i ɲ o n
^robar$	r o β a ɾ
^roble$	r o β l e
^roca$	r o k a
^rocío$	r o s i o
^rodar$	r o ð a ɾ
^rodilla$	r o ð i ʝ a
^rojo$	r o x o
^romo$	r o m o
^romper$	r o m p ɛ ɾ
^roncar$	r o n k a ɾ
^ropa$	r o p a
^ruana$	r w a n a
^rueda$	r w e ð a
^ruido$	r w i ð o
^ruidoso$	r w i ð o s o
^rápido$	r a p i ð o
^río$	r i o
^saber$	s a β ɛ ɾ
^sabio$	s a β j o
^saborear$	s a β o ɾ e a ɾ
^sacerdote$	s a s ɛ ɾ ð o t e
^saco$	s a k o
^sacrificio$	s a k ɾ i f i s j o
^sacudir$	s a k u ð i ɾ
^sagrado$	s a ɣ ɾ a ð o
^sal$	s a l
^salado$	s a l a ð o
^salario$	s a l a ɾ j o
^salchicha$	s a l tʃ i tʃ a
^salir$	s a l i ɾ
^saliva$	s a l i β a
^salobre$	s a l o β ɾ e
^salpicar$	s a l p i k a ɾ
^saltamontes$	s a l t a m o n t e s
^saltar$	s a l t a ɾ
^salto$	s a l t o
^salud$	s a l u ð
^salvar$	s a l β a ɾ
^sanar$	s a n a ɾ
^sangre$	s a n g ɾ e
^sano$	s a n o
^santo$	s a n t o
^sastre$	s a s t ɾ e
^savia$	s a β j a
^seco$	s e k o
^secreto$	s e k ɾ ɛ t o
^sed$	s ɛ ð
^seda$	s e ð a
^segar$	s e ɣ a ɾ
^seguir$	s e ɣ i ɾ
^segundo$	s e ɣ u n d o
^seguro$	s e ɣ u ɾ o
^seis$	s e i s
^selva$	s ɛ l β a
^semana$	s e m a n a
^sembrar$	s e m b ɾ a ɾ
^semejante$	s e m e x a n t e
^semental$	s e m e n t a l
^semilla$	s e m i ʝ a
^senda$	s e n d a
^seno$	s e n o
^sentar$	s e n t a ɾ
^sentir$	s e n t i ɾ
^separar$	s e p a ɾ a ɾ
^sepulcro$	s e p u l k ɾ o
^sepultar$	s e p u l t a ɾ
^serpiente$	s ɛ ɾ p j e n t e
^serrucho$	s ɛ r u tʃ o
^sesos$	s e s o s
^seta$	s ɛ t a
^seɲalar$	s e ɲ a l a ɾ
^si$	s i
^siega$	s j e ɣ a
^siempre$	s j e m p ɾ e
^sien$	s j e n
^sierra$	s j ɛ r a
^siete$	s j ɛ t e
^silbar$	s i l β a ɾ
^silencio$	s i l e n s j o
^silla$	s i ʝ a
^sirviente$	s i ɾ β j e n t e
^sitio$	s i t j o
^sobaco$	s o β a k o
^sobras$	s o β ɾ a s
^sobrina$	s o β ɾ i n a
^sobrino$	s o β ɾ i n o
^sofocar$	s o f o k a ɾ
^soga$	s o ɣ a
^sol$	s o l
^solamente$	s o l a m e n t e
^soldado$	s o l d a ð o
^solo$	s o l o
^soltar$	s o l t a ɾ
^sombra$	s o m b ɾ a
^sombrero$	s o m b ɾ ɛ ɾ o
^sonido$	s o n i ð o
^sonreír$	s o n r e i ɾ
^sopa$	s o p a
^soplar$	s o p l a ɾ
^sordo$	s o ɾ ð o
^sorprendido$	s o ɾ p ɾ e n d i ð o
^sortija$	s o ɾ t i x a
^sospechar$	s o s p e tʃ a ɾ
^soɲar$	s o ɲ a ɾ
^suave$	s w a β e
^subir$	s u β i ɾ
^sucio$	s u s j o
^sudar$	s u ð a ɾ
^suegra$	s w e ɣ ɾ a
^suegro$	s w e ɣ ɾ o
^sueldo$	s w ɛ l d o
^suelo$	s w e l o
^suficiente$	s u f i s j e n t e
^suponer$	s u p o n ɛ ɾ
^sur$	s u ɾ
^surco$	s u ɾ k o
^susto$	s u s t o
^sábado$	s a β a ð o
^sí$	s i
^súbdito$	s u β ð i t o
^tabaco$	t a β a k o
^tabla$	t a β l a
^tajar$	t a x a ɾ
^talar$	t a l a ɾ
^talón$	t a l o n
^tambor$	t a m b o ɾ
^tapete$	t a p ɛ t e
^tardar$	t a ɾ ð a ɾ
^tarde$	t a ɾ ð e
^tartamudear$	t a ɾ t a m u ð e a ɾ
^tatuaje$	t a t w a x e
^taza$	t a s a
^tazón$	t a s o n
^techo$	t e tʃ o
^tejer$	t e x ɛ ɾ
^tela$	t e l a
^telar$	t e l a ɾ
^telaraɲa$	t e l a ɾ a ɲ a
^temblar$	t e m b l a ɾ
^temblor$	t e m b l o ɾ
^tempestad$	t e m p ɛ s t a ð
^templo$	t e m p l o
^temprano$	t e m p ɾ a n o
^tenazas$	t e n a s a s
^tender$	t e n d ɛ ɾ
^tenedor$	t e n e ð o ɾ
^tener$	t e n ɛ ɾ
^tener_hipo$	t e n ɛ ɾ + i p o
^tener_relaciones_sexuales$	t e n ɛ ɾ + r e l a s j o n e s + s ɛ k s w a l e s
^tercero$	t ɛ ɾ s ɛ ɾ o
^terminar$	t ɛ ɾ m i n a ɾ
^ternero$	t ɛ ɾ n ɛ ɾ o
^terremoto$	t ɛ r e m o t o
^testigo$	t ɛ s t i ɣ o
^testículo$	t ɛ s t i k u l o
^teta$	t ɛ t a
^teɲir$	t e ɲ i ɾ
^tibio$	t i β j o
^tiburón$	t i β u ɾ o n
^tiempo$	t j e m p o
^tienda$	t j e n d a
^tierno$	t j ɛ ɾ n o
^tierra$	t j ɛ r a
^tierra_firme$	t j ɛ r a + f i ɾ m e
^tijeras$	t i x ɛ ɾ a s
^timón$	t i m o n
^tinieblas$	t i n j e β l a s
^tirar$	t i ɾ a ɾ
^toalla$	t o a ʝ a
^tobillo$	t o β i ʝ o
^tocado$	t o k a ð o
^tocar$	t o k a ɾ
^tocón$	t o k o n
^todo$	t o ð o
^toldo$	t o l d o
^tomar$	t o m a ɾ
^tonto$	t o n t o
^torcer$	t o ɾ s ɛ ɾ
^torcido$	t o ɾ s i ð o
^tormenta$	t o ɾ m e n t a
^toro$	t o ɾ o
^torre$	t o r e
^tortuga$	t o ɾ t u ɣ a
^toser$	t o s ɛ ɾ
^trabajar$	t ɾ a β a x a ɾ
^traer$	t ɾ a ɛ ɾ
^tragar$	t ɾ a ɣ a ɾ
^traicionar$	t ɾ a i s j o n a ɾ
^trampa$	t ɾ a m p a
^tranquilo$	t ɾ a n k i l o
^trapo$	t ɾ a p o
^trasero$	t ɾ a s ɛ ɾ o
^tratar$	t ɾ a t a ɾ
^trenzar$	t ɾ e n s a ɾ
^trepar$	t ɾ e p a ɾ
^tres$	t ɾ e s
^tres_veces$	t ɾ e s + β e s e s
^tribu$	t ɾ i β u
^tribunal$	t ɾ i β u n a l
^tributo$	t ɾ i β u t o
^trigo$	t ɾ i ɣ o
^trillar$	t ɾ i ʝ a ɾ
^tripas$	t ɾ i p a s
^tristeza$	t ɾ i s t e s a
^trocar$	t ɾ o k a ɾ
^trompa$	t ɾ o m p a
^trompeta$	t ɾ o m p ɛ t a
^tronco$	t ɾ o n k o
^tropas$	t ɾ o p a s
^trueno$	t ɾ w e n o
^tumba$	t u m b a
^tumbar$	t u m b a ɾ
^tía$	t i a
^tío$	t i o
^tú$	t u
^ubre$	u β ɾ e
^un_poco$	u m + p o k o
^ungüento$	u n g w e n t o
^unir$	u n i ɾ
^uno$	u n o
^usted$	u s t ɛ ð
^ustedes$	u s t e ð e s
^uva$	u β a
^uɲa$	u ɲ a
^vaca$	b a k a
^vaciar$	b a s j a ɾ
^vacío$	b a s i o
^valiente$	b a l j e n t e
^valle$	b a ʝ e
^valva$	b a l β a
^vaquero$	b a k ɛ ɾ o
^varón$	b a ɾ o n
^vecino$	b e s i n o
^veinte$	b e i n t e
^vela$	b e l a
^vello$	b e ʝ o
^velo$	b e l o
^vena$	b e n a
^venado$	b e n a ð o
^vender$	b e n d ɛ ɾ
^veneno$	b e n e n o
^venir$	b e n i ɾ
^ventana$	b e n t a n a
^ventana_de_la_nariz$	b e n t a n a + ð e + l a + n a ɾ i s
^ventilar$	b e n t i l a ɾ
^ventosear$	b e n t o s e a ɾ
^ver$	b ɛ ɾ
^verano$	b ɛ ɾ a n o
^verdadero$	b ɛ ɾ ð a ð ɛ ɾ o
^verde$	b ɛ ɾ ð e
^vergüenza$	b ɛ ɾ ɣ w e n s a
