ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	DONOR_LANGUAGE	DONOR_VALUE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	BOR_ID_1	BOR_FAM_1	SOURCE_LANGUAGE_1	SOURCE_ID_1	BOR_ID_2	BOR_FAM_2	SOURCE_LANGUAGE_2	SOURCE_ID_2	BOR_ID_3	BOR_FAM_3	SOURCE_LANGUAGE_3	SOURCE_ID_3
12820	Mapudungun	Araucanian	BUTTERFLY	kululu	kululu	k u l u l u	Gününa Yajüch	kululu	1 7 5 7 5 7	AXBYBZ	KYLYLY	2	2.K.C 2.Y.V 2.L.C 2.Y.V 2.L.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	kululu	0	0	1435-Araucanian			0	1381-Araucanian			0	1275-Araucanian		
409	Portuguese	Indo-European	BUTTOCKS	nádegas	nádegas	n a d e ɡ a ʃ			4 7 1 7 1 7 3	AXBYBYN	NATEKAS	4	4.N.C 4.A.V 4.T.C 4.E.V 4.K.C 4.A.V 4.S.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	nadeɡaʃ	0	0	1439-Indo-European			0	1385-Indo-European			0	1279-Indo-European		
2103	Spanish	Indo-European	BUTTOCKS	nalgas	nalgas	n a l ɣ a s			4 7 5 3 7 3	AXMBYN	NALGAS	6	6.N.C 6.A.V 6.L.c 6.G.C 6.A.V 6.S.c	2.0 1.5 1.1 1.75 1.3 0.8	nalɣas	0	0	1439-Indo-European			0	1385-Indo-European			0	1279-Indo-European		
2104	Spanish	Indo-European	BUTTOCKS	trasero	trasero	t ɾ a s ɛ ɾ o			1 5 7 3 7 5 7	ACXBYBZ	TRASERU	6	6.T.C 6.R.C 6.A.V 6.S.C 6.E.V 6.R.C 6.U.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	tɾasɛɾo	0	0	1446-Indo-European			0	1392-Indo-European			0	1286-Indo-European		
3812	Yaqui	Uto-Aztecan	BUTTOCKS	chobe	chobe	tʃ o b e			1 7 1 7	AXBZ	TUPE	8	8.T.C 8.U.V 8.P.C 8.E.V	2.0 1.5 1.75 0.8	tʃobe	0	0	1443-Uto-Aztecan			0	1389-Uto-Aztecan			0	1282-Uto-Aztecan		
5231	ZinacantanTzotzil	Mayan	BUTTOCKS	chakil	chakil	tʃʰ a k i l			1 7 1 7 5	AXBYN	TAKIL	9	9.T.C 9.A.V 9.K.C 9.I.V 9.L.c	2.0 1.5 1.75 1.3 0.8	tʃʰakil	1	0	1444-Mayan			0	1390-Mayan			0	1284-Mayan		
5232	ZinacantanTzotzil	Mayan	BUTTOCKS	likav chakil	likav_chakil	l i k a v + tʃʰ a k i l			5 7 1 7 3 9 1 7 1 7 5	AXBYN_AXBYN	LIKAB_TAKIL	9	9.L.C 9.I.V 9.K.C 9.A.V 9.B.c 9._._ 9.T.C 9.A.V 9.K.C 9.I.V 9.L.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.3 0.8	likav+tʃʰakil	0	0	1447-Mayan			0	1390-Mayan			0	1284-Mayan		
5233	ZinacantanTzotzil	Mayan	BUTTOCKS	pech chakil	pech_chakil	pʰ e tʃʰ + tʃʰ a k i l			1 7 1 9 1 7 1 7 5	AXN_AXBYN	PET_TAKIL	9	9.P.C 9.E.V 9.T.c 9._._ 9.T.C 9.A.V 9.K.C 9.I.V 9.L.c	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.3 0.8	pʰetʃʰ+tʃʰakil	0	0	1444-Mayan			0	1390-Mayan			0	1284-Mayan		
6551	Qeqchi	Mayan	BUTTOCKS	ko it	ko_it	k o + i tʰ			1 7 9 7 1	AX_XN	KU_IT	5	5.K.C 5.U.V 5._._ 5.I.V 5.T.c	2.0 1.5 0.0 1.5 0.8	ko+itʰ	0	0	1440-Mayan			0	1386-Mayan			0	1280-Mayan		
8406	Otomi	Otomanguean	BUTTOCKS	nthudi	nthudi	n θ u d i			4 3 7 1 7	ACYBZ	NDYTI	3	3.N.C 3.D.C 3.Y.V 3.T.C 3.I.V	2.0 1.5 1.3 1.75 0.8	nθudi	0	0	1438-Otomanguean			0	1384-Otomanguean			0	1278-Otomanguean		
8407	Otomi	Otomanguean	BUTTOCKS	xiji	xiji	x i x i			3 7 3 7	AXBZ	GIGI	3	3.G.C 3.I.V 3.G.C 3.I.V	2.0 1.5 1.75 0.8	xixi	1	0	1445-Otomanguean			0	1382-Otomanguean			0	1276-Otomanguean		
8408	Otomi	Otomanguean	BUTTOCKS	hñamfo	hñamfo	h ɲ a m f o			3 4 7 4 3 7	ACXMBZ	HNAMBU	3	3.H.C 3.N.C 3.A.V 3.M.c 3.B.C 3.U.V	2.0 1.5 1.5 1.1 1.75 0.8	hɲamfo	1	0	1448-Otomanguean			0	1394-Otomanguean			0	1288-Otomanguean		
10460	ImbaburaQuechua	Quechuan	BUTTOCKS	siki	siki	s i k i			3 7 1 7	AXBZ	SIKI	1	1.S.C 1.I.V 1.K.C 1.I.V	2.0 1.5 1.75 0.8	siki	0	0	1436-Quechuan			0	1382-Quechuan			0	1276-Quechuan		
11642	Wichi	Matacoan	BUTTOCKS	towejch’alus	towejch’alus	t o w e x tʃ ʔ a l u s			1 7 6 7 3 1 1 7 5 7 3	AXBYLMBYBYN	TUWEGTHALYS	7	7.T.C 7.U.V 7.W.C 7.E.V 7.G.c 7.T.c 7.H.C 7.A.V 7.L.C 7.Y.V 7.S.c	2.0 1.5 1.75 1.3 1.1 1.1 1.75 1.3 1.75 1.3 0.8	towextʃʔalus	0	0	1442-Matacoan			0	1388-Matacoan			0	1282-Matacoan		
12914	Mapudungun	Araucanian	BUTTOCKS	anüwe	anüwe	a n ɨ w e			7 4 7 6 7	XBYBZ	ANIWE	2	2.A.V 2.N.C 2.I.V 2.W.C 2.E.V	1.5 1.75 1.3 1.75 0.8	anɨwe	0	0	1437-Araucanian			0	1383-Araucanian			0	1277-Araucanian		
651	Portuguese	Indo-European	BUTTON	botão	botão	b o t ɐ̃ũ			1 7 1 7	AXBZ	PUTE	4	4.P.C 4.U.V 4.T.C 4.E.V	2.0 1.5 1.75 0.8	botɐ̃ũ	0	1449	1449-Indo-European	Spanish	2342	1395	1395-Indo-European	Spanish	2342	1289	1289-Indo-European	Spanish	2342
2342	Spanish	Indo-European	BUTTON	botón	botón	b o t o n			1 7 1 7 4	AXBYN	PUTUN	6	6.P.C 6.U.V 6.T.C 6.U.V 6.N.c	2.0 1.5 1.75 1.3 0.8	boton	0	1449	1449-Indo-European			1395	1395-Indo-European			1289	1289-Indo-European		
4027	Yaqui	Uto-Aztecan	BUTTON	booton	booton	b oː t o n	Spanish	botón	1 7 1 7 4	AXBYN	PUTUN	8	8.P.C 8.U.V 8.T.C 8.U.V 8.N.c	2.0 1.5 1.75 1.3 0.8	boːton	0	1449	1449-Uto-Aztecan	Spanish	2342	1395	1395-Uto-Aztecan	Spanish	2342	1289	1289-Uto-Aztecan	Spanish	2342
5428	ZinacantanTzotzil	Mayan	BUTTON	boton	boton	ɓ o t o n	Spanish	boto*n	1 7 1 7 4	AXBYN	PUTUN	9	9.P.C 9.U.V 9.T.C 9.U.V 9.N.c	2.0 1.5 1.75 1.3 0.8	ɓoton	0	1449	1449-Mayan	Spanish	2342	1395	1395-Mayan	Spanish	2342	1289	1289-Mayan	Spanish	2342
6804	Qeqchi	Mayan	BUTTON	b'otonx	b'otonx	ɓ o t o n ʃ	Spanish	botones	1 7 1 7 4 3	AXBYLN	PUTUNS	5	5.P.C 5.U.V 5.T.C 5.U.V 5.N.c 5.S.c	2.0 1.5 1.75 1.3 1.1 0.8	ɓotonʃ	0	1449	1449-Mayan	Spanish	2342	1395	1395-Mayan	Spanish	2342	1289	1289-Mayan	Spanish	2342
8685	Otomi	Otomanguean	BUTTON	boto	boto	b o t̪ o	Spanish	botón	1 7 1 7	AXBZ	PUTU	3	3.P.C 3.U.V 3.T.C 3.U.V	2.0 1.5 1.75 0.8	bot̪o	0	1449	1449-Otomanguean	Spanish	2342	1395	1395-Otomanguean	Spanish	2342	1289	1289-Otomanguean	Spanish	2342
10624	ImbaburaQuechua	Quechuan	BUTTON	butun	butun	b u t u ŋ	Spanish	botón	1 7 1 7 4	AXBYN	PYTYN	1	1.P.C 1.Y.V 1.T.C 1.Y.V 1.N.c	2.0 1.5 1.75 1.3 0.8	butuŋ	0	1449	1449-Quechuan	Spanish	2342	1395	1395-Quechuan	Spanish	2342	1289	1289-Quechuan	Spanish	2342
11812	Wichi	Matacoan	BUTTON	wutum	wutum	w u t u m	Spanish	botón	6 7 1 7 4	AXBYN	WYTYM	7	7.W.C 7.Y.V 7.T.C 7.Y.V 7.M.c	2.0 1.5 1.75 1.3 0.8	wutum	0	0	1455-Matacoan			0	1401-Matacoan			1289	1289-Matacoan	Spanish	2342
13085	Mapudungun	Araucanian	BUTTON	foton	foton	f o t o n	Spanish	botón	3 7 1 7 4	AXBYN	BUTUN	2	2.B.C 2.U.V 2.T.C 2.U.V 2.N.c	2.0 1.5 1.75 1.3 0.8	foton	0	1449	1449-Araucanian	Spanish	2342	1395	1395-Araucanian	Spanish	2342	1289	1289-Araucanian	Spanish	2342
1054	Portuguese	Indo-European	BUY	comprar	comprar	k õ p ɾ a ʁ			1 7 1 5 7 5	AXBCYN	KUPRAR	4	4.K.C 4.U.V 4.P.C 4.R.C 4.A.V 4.R.c	2.0 1.5 1.75 1.5 1.3 0.8	kõpɾaʁ	0	0	1459-Indo-European			0	1405-Indo-European			0	1293-Indo-European		
2779	Spanish	Indo-European	BUY	comprar	comprar	k o m p ɾ a ɾ			1 7 4 1 5 7 5	AXMBCYN	KUMPRAR	6	6.K.C 6.U.V 6.M.c 6.P.C 6.R.C 6.A.V 6.R.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	kompɾaɾ	0	0	1459-Indo-European			0	1405-Indo-European			0	1293-Indo-European		
4352	Yaqui	Uto-Aztecan	BUY	jinu	jinu	j i n u			6 7 4 7	AXBZ	JINY	8	8.J.C 8.I.V 8.N.C 8.Y.V	2.0 1.5 1.75 0.8	jinu	0	0	1463-Uto-Aztecan			0	1409-Uto-Aztecan			0	1297-Uto-Aztecan		
5704	ZinacantanTzotzil	Mayan	BUY	man	man	m a n			4 7 4	AXN	MAN	9	9.M.C 9.A.V 9.N.c	2.0 1.5 0.8	man	0	0	1464-Mayan			0	1403-Mayan			0	1291-Mayan		
7239	Qeqchi	Mayan	BUY	loq'ok	loq'ok	l o qʼ o kʰ			5 7 1 7 1	AXBYN	LUKUK	5	5.L.C 5.U.V 5.K.C 5.U.V 5.K.c	2.0 1.5 1.75 1.3 0.8	loqʼokʰ	0	0	1460-Mayan			0	1406-Mayan			0	1294-Mayan		
9252	Otomi	Otomanguean	BUY	ta̲i (1)	ta̲i	t̪ ɔ i			1 7 7	AXZ	TUI	3	3.T.C 3.U.V 3.I.V	2.0 1.5 0.8	t̪ɔi	0	0	1458-Otomanguean			0	1404-Otomanguean			0	1292-Otomanguean		
9253	Otomi	Otomanguean	BUY	ta̲mbi	ta̲mbi	t̪ ɔ m b i			1 7 4 1 7	AXMBZ	TUMPI	3	3.T.C 3.U.V 3.M.c 3.P.C 3.I.V	2.0 1.5 1.1 1.75 0.8	t̪ɔmbi	0	0	1465-Otomanguean			0	1404-Otomanguean			0	1292-Otomanguean		
9254	Otomi	Otomanguean	BUY	po̲hó	po̲hó	p ə h o			1 7 3 7	AXBZ	PEHU	3	3.P.C 3.E.V 3.H.C 3.U.V	2.0 1.5 1.75 0.8	pəho	0	0	1466-Otomanguean			0	1412-Otomanguean			0	1300-Otomanguean		
10881	ImbaburaQuechua	Quechuan	BUY	randina	randina	ʐ a n d i n a			3 7 4 1 7 4 7	AXMBYBZ	SANTINA	1	1.S.C 1.A.V 1.N.c 1.T.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	ʐandina	0	0	1456-Quechuan			0	1402-Quechuan			0	1290-Quechuan		
12089	Wichi	Matacoan	BUY	ichoj	ichoj	i tʃ o x			7 1 7 3	XBYN	ITUG	7	7.I.V 7.T.C 7.U.V 7.G.c	1.5 1.75 1.3 0.8	itʃox	0	0	1462-Matacoan			0	1408-Matacoan			0	1296-Matacoan		
13361	Mapudungun	Araucanian	BUY	ngillan	ngillan	ŋ i ʎ a n			4 7 5 7 4	AXBYN	NILAN	2	2.N.C 2.I.V 2.L.C 2.A.V 2.N.c	2.0 1.5 1.75 1.3 0.8	ŋiʎan	0	0	1457-Araucanian			0	1403-Araucanian			0	1291-Araucanian		
207	Portuguese	Indo-European	CALF	bezerro	bezerro	b e z ɛ ʁ u			1 7 3 7 5 7	AXBYBZ	PESERY	4	4.P.C 4.E.V 4.S.C 4.E.V 4.R.C 4.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	bezɛʁu	0	1470	1470-Indo-European	Spanish	1892	1416	1416-Indo-European	Spanish	1892	1301	1301-Indo-European	Spanish	1892
1892	Spanish	Indo-European	CALF	becerro	becerro	b e s ɛ r o			1 7 3 7 5 7	AXBYBZ	PESERU	6	6.P.C 6.E.V 6.S.C 6.E.V 6.R.C 6.U.V	2.0 1.5 1.75 1.3 1.75 0.8	besɛro	0	1470	1470-Indo-European			1416	1416-Indo-European			1301	1301-Indo-European		
1893	Spanish	Indo-European	CALF	ternero	ternero	t ɛ ɾ n ɛ ɾ o			1 7 5 4 7 5 7	AXMBYBZ	TERNERU	6	6.T.C 6.E.V 6.R.c 6.N.C 6.E.V 6.R.C 6.U.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	tɛɾnɛɾo	0	1477	1477-Indo-European			1419	1419-Indo-European			1307	1307-Indo-European		
3632	Yaqui	Uto-Aztecan	CALF	beseo	beseo	b e s e o	Spanish	becerro	1 7 3 7 7	AXBYZ	PESEU	8	8.P.C 8.E.V 8.S.C 8.E.V 8.U.V	2.0 1.5 1.75 1.3 0.8	beseo	0	1470	1470-Uto-Aztecan	Spanish	1892	1416	1416-Uto-Aztecan	Spanish	1892	1301	1301-Uto-Aztecan	Spanish	1892
5048	ZinacantanTzotzil	Mayan	CALF	nich'onil	nich'onil	n i tʃʰ ʔ o n i l			4 7 1 1 7 4 7 5	AXMBYBYN	NITHUNIL	9	9.N.C 9.I.V 9.T.c 9.H.C 9.U.V 9.N.C 9.I.V 9.L.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	nitʃʰʔonil	0	0	1475-Mayan			0	1421-Mayan			0	1309-Mayan		
6340	Qeqchi	Mayan	CALF	ral wakax	ral_wakax	r a l + w a k a ʃ			5 7 5 9 6 7 1 7 3	AXN_AXBYN	RAL_WAKAS	5	5.R.C 5.A.V 5.L.c 5._._ 5.W.C 5.A.V 5.K.C 5.A.V 5.S.c	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.3 0.8	ral+wakaʃ	0	0	1471-Mayan			0	1417-Mayan			0	1305-Mayan		
8174	Otomi	Otomanguean	CALF	t'olo doro	t'olo_doro	t̪ʼ o l o + d o r o	Spanish	toro	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	TULU_TURU	3	3.T.C 3.U.V 3.L.C 3.U.V 3._._ 3.T.C 3.U.V 3.R.C 3.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	t̪ʼolo+doro	0	0	1469-Otomanguean			0	1415-Otomanguean			0	1303-Otomanguean		
8175	Otomi	Otomanguean	CALF	t'u̲ boi	t'u̲_boi	t̪ʼ u + b o i			1 7 9 1 7 7	AX_AXZ	TY_PUI	3	3.T.C 3.Y.V 3._._ 3.P.C 3.U.V 3.I.V	2.0 1.5 0.0 2.0 1.5 0.8	t̪ʼu+boi	0	0	1476-Otomanguean			0	1422-Otomanguean			0	1310-Otomanguean		
8176	Otomi	Otomanguean	CALF	ternera	ternera	t̪ e r n e r a	Spanish	ternera	1 7 5 4 7 5 7	AXMBYBZ	TERNERA	3	3.T.C 3.E.V 3.R.c 3.N.C 3.E.V 3.R.C 3.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	t̪ernera	0	1477	1477-Otomanguean	Spanish	1893	1419	1419-Otomanguean	Spanish	1893	1307	1307-Otomanguean	Spanish	1893
8177	Otomi	Otomanguean	CALF	t’olo baga	t’olo_baga	t̪ ʔ o l o + b a g a			1 1 7 5 7 9 1 7 1 7	ACYBZ_AXBZ	THULU_PAKA	3	3.T.C 3.H.C 3.U.V 3.L.C 3.U.V 3._._ 3.P.C 3.A.V 3.K.C 3.A.V	2.0 1.5 1.3 1.75 0.8 0.0 2.0 1.5 1.75 0.8	t̪ʔolo+baga	0	0	1480-Otomanguean			0	1415-Otomanguean			0	1303-Otomanguean		
10309	ImbaburaQuechua	Quechuan	CALF	shiku	shiku	ʃ i k u	Spanish	chico	3 7 1 7	AXBZ	SIKY	1	1.S.C 1.I.V 1.K.C 1.Y.V	2.0 1.5 1.75 0.8	ʃiku	0	0	1467-Quechuan			0	1413-Quechuan			1301	1301-Quechuan	Spanish	1892
11459	Wichi	Matacoan	CALF	teinelu	teinelu	t e i n e l u	Spanish	ternero	1 7 7 4 7 5 7	AXYBYBZ	TEINELY	7	7.T.C 7.E.V 7.I.V 7.N.C 7.E.V 7.L.C 7.Y.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	teinelu	0	0	1473-Matacoan			1419	1419-Matacoan	Spanish	1893	1307	1307-Matacoan	Spanish	1893
11460	Wichi	Matacoan	CALF	tulu lhos	tulu_lhos	t u l u + lˠ o s			1 7 5 7 9 5 7 3	AXBZ_AXN	TYLY_LUS	7	7.T.C 7.Y.V 7.L.C 7.Y.V 7._._ 7.L.C 7.U.V 7.S.c	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	tulu+lˠos	0	0	1478-Matacoan			0	1424-Matacoan			0	1303-Matacoan		
12751	Mapudungun	Araucanian	CALF	pichi kulliñ	pichi_kulliñ	p i tʃ i + k u ʎ i ɲ			1 7 1 7 9 1 7 5 7 4	AXBZ_AXBYN	PITI_KYLIN	2	2.P.C 2.I.V 2.T.C 2.I.V 2._._ 2.K.C 2.Y.V 2.L.C 2.I.V 2.N.c	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 0.8	pitʃi+kuʎiɲ	0	0	1468-Araucanian			0	1414-Araucanian			0	1302-Araucanian		
380	Portuguese	Indo-European	CALF OF LEG	barriga da perna	barriga_da_perna	b a ʁ i ɡ ɐ + d ɐ + p ɛ ʁ n ɐ			1 7 5 7 1 7 9 1 7 9 1 7 5 4 7	AXBYBZ_AX_AXMBZ	PARIKE_TE_PERNE	4	4.P.C 4.A.V 4.R.C 4.I.V 4.K.C 4.E.V 4._._ 4.T.C 4.E.V 4._._ 4.P.C 4.E.V 4.R.c 4.N.C 4.E.V	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5 1.1 1.75 0.8	baʁiɡɐ+dɐ+pɛʁnɐ	0	0	1484-Indo-European			0	1428-Indo-European			0	1314-Indo-European		
2077	Spanish	Indo-European	CALF OF LEG	pantorrilla	pantorrilla	p a n t o r i ʝ a			1 7 4 1 7 5 7 3 7	AXMBYBYBZ	PANTURISA	6	6.P.C 6.A.V 6.N.c 6.T.C 6.U.V 6.R.C 6.I.V 6.S.C 6.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	pantoriʝa	0	0	1486-Indo-European			0	1430-Indo-European			0	1314-Indo-European		
3787	Yaqui	Uto-Aztecan	CALF OF LEG	woktomam	woktomam	w o k t o m a m			6 7 1 1 7 4 7 4	AXMBYBYN	WUKTUMAM	8	8.W.C 8.U.V 8.K.c 8.T.C 8.U.V 8.M.C 8.A.V 8.M.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	woktomam	0	0	1488-Uto-Aztecan			0	1432-Uto-Aztecan			0	1318-Uto-Aztecan		
6523	Qeqchi	Mayan	CALF OF LEG	xsu oq, su oq	xsu_oq	ʃ s u + o qʰ			3 3 7 9 7 1	ACZ_XN	SSY_UK	5	5.S.C 5.S.C 5.Y.V 5._._ 5.U.V 5.K.c	2.0 1.5 0.8 0.0 1.5 0.8	ʃsu+oqʰ	0	0	1485-Mayan			0	1429-Mayan			0	1315-Mayan		
8378	Otomi	Otomanguean	CALF OF LEG	dot'u̲wa	dot'u̲wa	d o t̪ʼ u w a			1 7 1 7 6 7	AXBYBZ	TUTYWA	3	3.T.C 3.U.V 3.T.C 3.Y.V 3.W.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	dot̪ʼuwa	0	0	1483-Otomanguean			0	1427-Otomanguean			0	1313-Otomanguean		
10438	ImbaburaQuechua	Quechuan	CALF OF LEG	changa	changa	tʃ a ŋ g a			1 7 4 1 7	AXMBZ	TANKA	1	1.T.C 1.A.V 1.N.c 1.K.C 1.A.V	2.0 1.5 1.1 1.75 0.8	tʃaŋga	0	0	1481-Quechuan			0	1425-Quechuan			0	1311-Quechuan		
11619	Wichi	Matacoan	CALF OF LEG	totkolots’e	totkolots’e	t o t k o l o ts ʔ e			1 7 1 1 7 5 7 2 1 7	AXMBYBYMBZ	TUTKULUCHE	7	7.T.C 7.U.V 7.T.c 7.K.C 7.U.V 7.L.C 7.U.V 7.C.c 7.H.C 7.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.1 1.75 0.8	totkolotsʔe	0	0	1487-Matacoan			0	1431-Matacoan			0	1311-Matacoan		
12891	Mapudungun	Araucanian	CALF OF LEG	komofüṉ	komofüṉ	k o m o f ɨ n̪			1 7 4 7 3 7 4	AXBYBYN	KUMUBIN	2	2.K.C 2.U.V 2.M.C 2.U.V 2.B.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	komofɨn̪	0	0	1482-Araucanian			0	1426-Araucanian			0	1312-Araucanian		
1497	Portuguese	Indo-European	CALL	chamar	chamar	ʃ ɐ m a ʁ			3 7 4 7 5	AXBYN	SEMAR	4	4.S.C 4.E.V 4.M.C 4.A.V 4.R.c	2.0 1.5 1.75 1.3 0.8	ʃɐmaʁ	0	0	1492-Indo-European			0	1436-Indo-European			1320	1320-Indo-European	Spanish	3261
3261	Spanish	Indo-European	CALL	llamar	llamar	ɟ ʝ a m a ɾ			1 3 7 4 7 5	ACXBYN	CSAMAR	6	6.C.C 6.S.C 6.A.V 6.M.C 6.A.V 6.R.c	2.0 1.5 1.5 1.75 1.3 0.8	ɟʝamaɾ	0	0	1492-Indo-European			0	1436-Indo-European			1320	1320-Indo-European		
4747	Yaqui	Uto-Aztecan	CALL	teuwa	teuwa	t e u w a			1 7 7 6 7	AXYBZ	TEYWA	8	8.T.C 8.E.V 8.Y.V 8.W.C 8.A.V	2.0 1.5 1.3 1.75 0.8	teuwa	0	0	1496-Uto-Aztecan			0	1440-Uto-Aztecan			0	1326-Uto-Aztecan		
6052	ZinacantanTzotzil	Mayan	CALL	tak	tak	t a k			1 7 1	AXN	TAK	9	9.T.C 9.A.V 9.K.c	2.0 1.5 0.8	tak	0	0	1497-Mayan			0	1441-Mayan			0	1321-Mayan		
6053	ZinacantanTzotzil	Mayan	CALL	tak’i	tak’i	t a kʼ i			1 7 1 7	AXBZ	TAKI	9	9.T.C 9.A.V 9.K.C 9.I.V	2.0 1.5 1.75 0.8	takʼi	0	0	1497-Mayan			0	1441-Mayan			0	1321-Mayan		
6054	ZinacantanTzotzil	Mayan	CALL	7ik’ (2)	7ik’	ʔ i kʼ			1 7 1	AXN	HIK	9	9.H.C 9.I.V 9.K.c	2.0 1.5 0.8	ʔikʼ	1	0	1502-Mayan			0	1446-Mayan			0	1332-Mayan		
7755	Qeqchi	Mayan	CALL	b'oqok	b'oqok	ɓ o q o kʰ			1 7 1 7 1	AXBYN	PUKUK	5	5.P.C 5.U.V 5.K.C 5.U.V 5.K.c	2.0 1.5 1.75 1.3 0.8	ɓoqokʰ	0	0	1493-Mayan			0	1437-Mayan			0	1323-Mayan		
9897	Otomi	Otomanguean	CALL	mat'i	mat'i	m a t̪ʼ i			4 7 1 7	AXBZ	MATI	3	3.M.C 3.A.V 3.T.C 3.I.V	2.0 1.5 1.75 0.8	mat̪ʼi	0	0	1491-Otomanguean			0	1435-Otomanguean			0	1321-Otomanguean		
9898	Otomi	Otomanguean	CALL	zofo	zofo	z o f o			3 7 3 7	AXBZ	SUBU	3	3.S.C 3.U.V 3.B.C 3.U.V	2.0 1.5 1.75 0.8	zofo	0	0	1498-Otomanguean			0	1442-Otomanguean			0	1328-Otomanguean		
11216	ImbaburaQuechua	Quechuan	CALL	kayana (1)	kayana	k a j a n a			1 7 6 7 4 7	AXBYBZ	KAJANA	1	1.K.C 1.A.V 1.J.C 1.A.V 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kajana	0	0	1489-Quechuan			0	1433-Quechuan			0	1319-Quechuan		
12434	Wichi	Matacoan	CALL	t’ona	t’ona	t ʔ o n a			1 1 7 4 7	ACYBZ	THUNA	7	7.T.C 7.H.C 7.U.V 7.N.C 7.A.V	2.0 1.5 1.3 1.75 0.8	tʔona	0	0	1495-Matacoan			0	1439-Matacoan			0	1325-Matacoan		
12435	Wichi	Matacoan	CALL	t’one	t’one	t ʔ o n e			1 1 7 4 7	ACYBZ	THUNE	7	7.T.C 7.H.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.3 1.75 0.8	tʔone	0	0	1495-Matacoan			0	1439-Matacoan			0	1325-Matacoan		
12436	Wichi	Matacoan	CALL	t’oney	t’oney	t ʔ o n e j			1 1 7 4 7 6	ACYBYN	THUNEJ	7	7.T.C 7.H.C 7.U.V 7.N.C 7.E.V 7.J.c	2.0 1.5 1.3 1.75 1.3 0.8	tʔonej	0	0	1495-Matacoan			0	1439-Matacoan			0	1325-Matacoan		
13703	Mapudungun	Araucanian	CALL	mütrümün	mütrümün	m ɨ ʈʂ ɨ m ɨ n			4 7 2 7 4 7 4	AXBYBYN	MICIMIN	2	2.M.C 2.I.V 2.C.C 2.I.V 2.M.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	mɨʈʂɨmɨn	0	0	1490-Araucanian			0	1434-Araucanian			1320	1320-Araucanian	Spanish	3261
1498	Portuguese	Indo-European	CALL BY NAME	nomear	nomear	n o m i a ʁ			4 7 4 7 7 5	AXBYYN	NUMIAR	4	4.N.C 4.U.V 4.M.C 4.I.V 4.A.V 4.R.c	2.0 1.5 1.75 1.3 1.3 0.8	nomiaʁ	0	0	1506-Indo-European			0	1450-Indo-European			0	1336-Indo-European		
1499	Portuguese	Indo-European	CALL BY NAME	chamar-se	chamar-se	ʃ ɐ m a ʁ s i			3 7 4 7 5 3 7	AXBYMBZ	SEMARSI	4	4.S.C 4.E.V 4.M.C 4.A.V 4.R.c 4.S.C 4.I.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	ʃɐmaʁsi	0	0	1508-Indo-European			0	1452-Indo-European			0	1336-Indo-European		
3262	Spanish	Indo-European	CALL BY NAME	llamarse	llamarse	ɟ ʝ a m a ɾ s e			1 3 7 4 7 5 3 7	ACXBYMBZ	CSAMARSE	6	6.C.C 6.S.C 6.A.V 6.M.C 6.A.V 6.R.c 6.S.C 6.E.V	2.0 1.5 1.5 1.75 1.3 1.1 1.75 0.8	ɟʝamaɾse	0	0	1508-Indo-European			0	1452-Indo-European			0	1336-Indo-European		
4748	Yaqui	Uto-Aztecan	CALL BY NAME	tea	tea	t e a			1 7 7	AXZ	TEA	8	8.T.C 8.E.V 8.A.V	2.0 1.5 0.8	tea	0	0	1510-Uto-Aztecan			0	1454-Uto-Aztecan			0	1335-Uto-Aztecan		
